# MsuH m_ini logL logTe M_ass b_ass y_ass m_app b-y dist abs_dist ID_parent age_parent
0.4 0.89566 -0.409 3.7041 6.014 6.529 5.975 6.67374017713 0.558316185897 13.4665 13.4665 2075161763.0 2.785524
0.11 1.28465 0.628 3.704 3.41 3.939 3.384 7.41884006847 0.574737724359 -61.5817 61.5817 3148571409.0 4.395058
0.33 1.36846 0.563 3.8013 3.34 3.66 3.321 5.06060237711 0.346007980769 21.8649 21.8649 4223888099.0 2.288159
0.11 1.44355 0.923 3.7736 2.484 2.855 2.465 0.419669116539 0.391236538462 -3.858 3.858 2074710444.0 3.182009
-1.06 0.73877 -0.328 3.7637 5.706 6.089 5.689 3.56984813372 0.401196378205 3.7327 3.7327 1000596880.0 4.44327
0.56 1.50555 0.622 3.8223 3.157 3.44 3.139 6.65426436208 0.316685929487 -48.9401 48.9401 4221315226.0 0.4747187
0.44 2.22943 1.337 3.9588 1.479 1.498 1.463 3.96904534505 0.0449459935897 31.0315 31.0315 4222744958.0 0.07578272
-0.21 1.74794 1.187 3.935 1.826 1.879 1.809 6.02784995569 0.0915173397436 -67.1341 67.1341 2076292289.0 0.7267714
-0.76 1.05292 0.277 3.8308 4.13 4.389 4.113 5.10831900155 0.280993365385 15.5793 15.5793 2077130039.0 0.8306529
0.33 1.63023 0.821 3.8544 2.659 2.872 2.641 2.13302096804 0.233506602564 -7.8206 7.8206 2075460073.0 0.5878422
0.69 2.33648 1.515 3.9237 0.922 0.979 0.906 7.24518928313 0.127509166667 170.0686 170.0686 4221766152.0 0.3490548
-0.55 0.67119 -0.67 3.6964 6.705 7.201 6.672 4.58880284486 0.530207403846 3.7671 3.7671 1001951307.0 3.710919
0.56 1.0025 -0.14 3.7349 5.221 5.692 5.195 3.56539366659 0.498492083333 4.6553 4.6553 4222227473.0 3.440413
-0.76 1.40524 0.989 3.9325 2.343 2.406 2.327 3.0619361493 0.0834347115385 13.8363 13.8363 1002872039.0 1.356042
0.22 1.45433 0.759 3.7976 2.859 3.184 2.841 5.96849607122 0.356168237179 -41.0849 41.0849 4222830008.0 2.651467
0.07 1.59781 0.868 3.8796 2.561 2.723 2.543 6.07215040705 0.195784326923 49.2471 49.2471 4221927904.0 0.5228486
-0.1 0.73857 -0.649 3.6828 6.725 7.254 6.678 3.77376453374 0.576822403846 2.5659 2.5659 2074337872.0 3.157901
0.07 1.86743 1.272 3.8784 1.536 1.689 1.518 1.60176288247 0.174288108974 10.2589 10.2589 2075959235.0 1.007084
